"Date and time","SMV340200 - Power Consumption (W, Min. over last 15 min) (W)","SMV340201 - Power Consumption (W, Min. over last 15 min) (W)","SMV340202 - Power Consumption (W, Min. over last 15 min) (W)","SMV340203 - Power Consumption (W, Min. over last 15 min) (W)","SMV340204 - Power Consumption (W, Min. over last 15 min) (W)","SMV340205 - Power Consumption (W, Min. over last 15 min) (W)","SMV340206 - Power Consumption (W, Min. over last 15 min) (W)","SMV340207 - Power Consumption (W, Min. over last 15 min) (W)","SMV340208 - Power Consumption (W, Min. over last 15 min) (W)","SMV340209 - Power Consumption (W, Min. over last 15 min) (W)","SMV340210 - Power Consumption (W, Min. over last 15 min) (W)","SMV340211 - Power Consumption (W, Min. over last 15 min) (W)","SMV340212 - Power Consumption (W, Min. over last 15 min) (W)","SMV340213 - Power Consumption (W, Min. over last 15 min) (W)","SMV340230 - Power Consumption (W, Min. over last 15 min) (W)","SMV340232 - Power Consumption (W, Min. over last 15 min) (W)","SMV340233 - Power Consumption (W, Min. over last 15 min) (W)","SMV340234 - Power Consumption (W, Min. over last 15 min) (W)","SMV340262 - Power Consumption (W, Min. over last 15 min) (W)","SMV340263 - Power Consumption (W, Min. over last 15 min) (W)","idrac-9DQGPV3 - Power Consumption (W, Min. over last 15 min) (W)","idrac-BDQGPV3 - Power Consumption (W, Min. over last 15 min) (W)","idrac-CDQGPV3 - Power Consumption (W, Min. over last 15 min) (W)","idrac-DDQGPV3 - Power Consumption (W, Min. over last 15 min) (W)","idrac-FDQGPV3 - Power Consumption (W, Min. over last 15 min) (W)"
"2025-06-02T10:30:00-03:00","685","709","689","723","788","770","755","806","901","826","934","963","715","705","768","741","683","751","932","","874","900","821","844","785"
"2025-06-02T10:45:00-03:00","684","710","693","718","790","771","773","793","920","792","916","1000","749","697","768","776","677","769","765","","870","900","805","857","811"
"2025-06-02T11:00:00-03:00","686","712","692","724","835","762","773","801","946","798","943","958","749","695","810","797","679","767","791","","869","895","805","857","815"
"2025-06-02T11:15:00-03:00","688","715","698","727","876","767","769","808","959","798","956","899","745","685","810","758","681","757","976","","864","895","816","850","813"
"2025-06-02T11:30:00-03:00","686","714","688","730","873","767","780","809","966","791","962","913","732","693","783","747","681","761","798","","867","891","827","850","825"
"2025-06-02T11:45:00-03:00","688","721","701","732","787","767","767","811","941","797","940","901","723","705","783","745","685","762","767","","870","904","827","856","835"
"2025-06-02T12:00:00-03:00","688","718","700","731","890","767","775","820","953","797","948","924","727","695","760","799","686","761","805","","864","901","839","860","811"
"2025-06-02T12:15:00-03:00","690","723","695","732","805","767","777","815","982","823","983","949","773","706","760","793","689","777","881","","872","901","841","860","837"
"2025-06-02T12:30:00-03:00","693","727","703","736","841","767","778","833","977","813","946","948","753","695","760","917","695","755","818","","852","906","862","848","855"
"2025-06-02T12:45:00-03:00","693","719","702","743","863","767","774","815","974","813","956","987","730","705","740","749","687","768","881","","874","","848","845","844"
"2025-06-02T13:00:00-03:00","695","730","706","751","803","767","776","815","976","813","958","1002","737","705","740","773","703","779","816","","871","","848","845","863"
"2025-06-02T13:15:00-03:00","699","703","669","752","950","767","809","823","1009","813","981","1033","753","715","740","889","710","770","884","","871","903","866","853","854"
"2025-06-02T13:30:00-03:00","699","733","706","759","972","767","776","811","1001","828","998","1007","764","708","734","860","693","759","1002","","858","906","881","","869"
"2025-06-02T13:45:00-03:00","695","739","712","760","971","","823","840","1010","854","1012","980","772","697","734","869","701","779","972","","878","906","881","","865"
"2025-06-02T14:00:00-03:00","703","744","709","768","858","","798","832","1017","839","1001","1021","778","724","734","742","703","792","888","","864","901","887","834","882"
"2025-06-02T14:15:00-03:00","703","751","695","772","846","945","832","866","1057","839","1028","1022","746","738","734","781","720","788","818","","875","887","887","","862"
"2025-06-02T14:30:00-03:00","702","750","717","779","783","921","834","876","1048","863","1057","1064","770","749","741","750","725","785","848","","863","891","","","882"
"2025-06-02T14:45:00-03:00","703","750","718","778","855","845","852","866","1042","867","1030","1027","769","750","741","744","711","775","906","","887","891","","844","882"
"2025-06-02T15:00:00-03:00","703","755","715","781","742","845","837","878","1056","877","1033","1021","761","749","731","757","709","787","752","","878","","888","832","846"
"2025-06-02T15:15:00-03:00","703","749","703","788","946","831","841","864","1054","888","1056","1030","809","748","731","776","719","779","863","","883","","899","832","891"
"2025-06-02T15:30:00-03:00","715","743","712","758","779","849","866","877","1033","868","1042","993","801","735","731","764","707","789","797","","880","897","879","853","892"
"2025-06-02T15:45:00-03:00","707","756","726","779","790","879","875","885","1061","876","1057","1022","809","740","731","760","706","798","811","","891","881","872","857","887"
"2025-06-02T16:00:00-03:00","712","755","722","774","802","879","840","896","1103","890","1104","1029","790","747","745","811","738","811","829","","888","896","881","857","910"
"2025-06-02T16:15:00-03:00","719","748","729","776","746","879","843","893","1051","881","1067","1040","836","767","745","726","734","817","748","","866","896","881","869","858"
"2025-06-02T16:30:00-03:00","717","752","734","788","749","879","846","905","1047","892","1083","1047","812","811","747","765","746","810","745","","864","893","890","826","851"
"2025-06-02T16:45:00-03:00","715","748","726","776","768","879","856","900","1075","903","1025","1039","822","788","747","725","753","824","722","","879","893","857","","859"
"2025-06-02T17:00:00-03:00","693","743","726","793","737","879","861","904","1056","901","1053","1072","856","780","747","738","751","865","709","","897","893","857","","864"
"2025-06-02T17:15:00-03:00","713","744","725","760","833","933","839","905","1030","901","1080","1062","894","775","747","735","757","843","772","","933","","857","","856"
"2025-06-02T17:30:00-03:00","704","716","741","784","790","936","837","909","1056","913","1051","1061","815","792","755","746","792","839","762","","904","","879","","866"
"2025-06-02T17:45:00-03:00","705","723","721","777","765","939","862","931","1066","906","1059","1057","831","790","755","740","791","802","738","","940","","879","907","841"
"2025-06-02T18:00:00-03:00","719","737","718","788","749","939","872","911","1053","900","1056","988","837","797","755","732","764","812","727","","910","","880","911","851"
"2025-06-02T18:15:00-03:00","722","733","737","778","794","","854","922","1060","894","1050","1035","773","805","796","757","777","841","732","","899","985","878","892","860"
"2025-06-02T18:30:00-03:00","708","736","726","774","793","","874","921","1075","894","1058","1001","792","784","784","731","763","827","700","","916","987","871","892","857"
"2025-06-02T18:45:00-03:00","711","738","723","777","737","","870","881","1075","894","1038","1032","798","785","764","716","781","811","683","","918","977","891","885","838"
"2025-06-02T19:00:00-03:00","719","741","728","759","727","824","855","901","1057","876","1017","1043","825","798","749","743","760","821","693","","915","","863","908","835"
"2025-06-02T19:15:00-03:00","710","734","733","775","760","854","844","907","1104","912","1080","1075","801","798","749","754","751","805","756","","897","","","899","860"
"2025-06-02T19:30:00-03:00","721","728","717","776","717","854","858","890","1067","899","1071","1056","785","776","713","739","764","788","667","","888","970","","899","849"
"2025-06-02T19:45:00-03:00","719","747","739","781","716","900","849","887","1075","909","1072","1010","804","788","713","734","782","822","703","802","922","976","865","899","838"
"2025-06-02T20:00:00-03:00","718","726","725","784","733","","853","888","1092","884","1050","1050","806","779","710","777","796","823","790","817","938","948","889","893","867"
"2025-06-02T20:15:00-03:00","720","749","737","798","855","","841","911","1092","884","1129","1040","833","792","710","797","807","822","923","875","921","948","855","933","859"
"2025-06-02T20:30:00-03:00","705","744","730","795","780","900","839","875","1077","906","1067","1035","810","812","706","815","787","811","897","857","950","986","904","910","862"
"2025-06-02T20:45:00-03:00","719","730","729","783","789","929","849","908","1059","906","1078","1046","812","822","706","835","782","835","893","883","930","982","892","905","869"
"2025-06-02T21:00:00-03:00","716","736","738","789","779","","855","926","1066","905","1041","1063","815","822","706","777","783","841","739","857","926","969","892","894","846"
"2025-06-02T21:15:00-03:00","715","734","731","790","710","","879","981","1051","938","1050","1095","838","810","706","775","792","866","729","882","917","969","895","905","855"
"2025-06-02T21:30:00-03:00","715","747","733","763","716","958","878","927","1042","938","1028","1024","817","815","707","773","777","887","720","841","929","984","851","891","861"
"2025-06-02T21:45:00-03:00","696","739","731","786","760","954","874","915","1055","927","1028","1034","819","778","712","804","798","845","732","834","924","973","852","891","835"
"2025-06-02T22:00:00-03:00","715","738","736","767","795","942","846","909","1040","909","1052","1009","817","794","737","794","804","833","751","835","941","978","854","889","866"
"2025-06-02T22:15:00-03:00","724","734","729","761","777","942","845","893","1055","923","1049","1032","805","793","745","775","784","806","758","848","910","965","826","903","859"
"2025-06-02T22:30:00-03:00","716","720","700","765","760","","859","905","1017","886","1073","1021","785","791","745","776","771","795","729","813","944","985","842","906","853"
"2025-06-02T22:45:00-03:00","713","731","744","770","918","","853","894","1040","886","1053","982","771","774","745","789","789","788","825","790","901","985","826","906","837"
"2025-06-02T23:00:00-03:00","714","728","727","753","830","927","864","904","1039","886","1030","1023","764","767","750","916","780","796","776","803","939","973","848","893","864"
"2025-06-02T23:15:00-03:00","705","731","726","725","874","942","867","945","1035","895","1045","1019","768","785","750","863","803","803","794","828","921","976","838","907","842"
"2025-06-02T23:30:00-03:00","709","727","718","746","796","917","824","947","1008","895","1011","1006","773","771","750","782","769","794","746","818","934","952","839","907","860"
"2025-06-02T23:45:00-03:00","710","726","731","756","740","903","865","907","1013","892","1028","1019","764","763","761","746","758","779","762","784","913","957","847","894","851"
"2025-06-03T00:00:00-03:00","703","729","694","745","748","928","846","895","1033","885","1024","1043","760","737","760","743","758","772","732","792","932","962","843","894","852"
