"Date and time","SMV340200 - Total CPU Power (W, Total over last 15 min) (W)","SMV340201 - Total CPU Power (W, Total over last 15 min) (W)","SMV340202 - Total CPU Power (W, Total over last 15 min) (W)","SMV340203 - Total CPU Power (W, Total over last 15 min) (W)","SMV340204 - Total CPU Power (W, Total over last 15 min) (W)","SMV340205 - Total CPU Power (W, Total over last 15 min) (W)","SMV340206 - Total CPU Power (W, Total over last 15 min) (W)","SMV340207 - Total CPU Power (W, Total over last 15 min) (W)","SMV340208 - Total CPU Power (W, Total over last 15 min) (W)","SMV340209 - Total CPU Power (W, Total over last 15 min) (W)","SMV340210 - Total CPU Power (W, Total over last 15 min) (W)","SMV340211 - Total CPU Power (W, Total over last 15 min) (W)","SMV340212 - Total CPU Power (W, Total over last 15 min) (W)","SMV340213 - Total CPU Power (W, Total over last 15 min) (W)","SMV340230 - Total CPU Power (W, Total over last 15 min) (W)","SMV340232 - Total CPU Power (W, Total over last 15 min) (W)","SMV340233 - Total CPU Power (W, Total over last 15 min) (W)","SMV340234 - Total CPU Power (W, Total over last 15 min) (W)","SMV340262 - Total CPU Power (W, Total over last 15 min) (W)","SMV340263 - Total CPU Power (W, Total over last 15 min) (W)","idrac-9DQGPV3 - Total CPU Power (W, Total over last 15 min) (W)","idrac-BDQGPV3 - Total CPU Power (W, Total over last 15 min) (W)","idrac-CDQGPV3 - Total CPU Power (W, Total over last 15 min) (W)","idrac-DDQGPV3 - Total CPU Power (W, Total over last 15 min) (W)","idrac-FDQGPV3 - Total CPU Power (W, Total over last 15 min) (W)"
"2025-06-10T16:15:00-03:00","","","","","","591.030146","","","","553.747369","","","","","","473.165644","","","","","","561.551033","555.845041","531.31746",""
"2025-06-10T16:30:00-03:00","","","","","","589.852631","","","","545.405263","","","","","","463.161491","","","","","","556.552631","536.3","522.738513",""
"2025-06-10T16:45:00-03:00","","","","","","592.809751","","","","551.431579","","","","","","433.122699","","","","","","556.463627","532.608466","522.426316",""
"2025-06-10T17:00:00-03:00","","","","","","611.403141","","","","553.921052","","","","","","466.435583","","","","","","555.749809","534.431579","521.402243",""
"2025-06-10T17:15:00-03:00","","","","","","589.619912","","","","573.978532","","","","","","487.503068","","","","","","553.294737","542.757894","516.68421",""
"2025-06-10T17:30:00-03:00","","","","","","581.392737","","","","570.178948","","","","","","488.518292","","","","","","555.23191","533.068421","514.119391",""
"2025-06-10T17:45:00-03:00","","","","","","577.763158","","","","563.963158","","","","","","487.611111","","","","","","570.001214","533.733342","519.242106",""
"2025-06-10T18:00:00-03:00","","","","","","572.831579","","","","562.334886","","","","","","477.141104","","","","","","564.026322","534.445964","515.653906",""
"2025-06-10T18:15:00-03:00","","","","","","576.578948","","","","543.614319","","","","","","485.588957","","","","","","558.555111","538.381294","509.1666",""
"2025-06-10T18:30:00-03:00","","","","","","577.226316","","","","549.236842","","","","","","476.392638","","","","","","551.587132","531.868421","512.494737",""
"2025-06-10T18:45:00-03:00","","","","","","538.305263","","","","550.938089","","","","","","449.969326","","","","","","558.205263","532.204571","512.116402",""
"2025-06-10T19:00:00-03:00","","","","","","502.765997","","","","558.578948","","","","","","443.36646","","","","","","559.451337","535.026316","514.7",""
"2025-06-10T19:15:00-03:00","","","","","","506.13561","","","","548.576731","","","","","","454.730061","","","","","","560.523428","540.194737","513.163158",""
"2025-06-10T19:30:00-03:00","","","","","","511.61579","","","","555.989473","","","","","","456.411043","","","","","","551.417989","537.811551","516.590332",""
