"Date and time","SMV340200 - Total Memory Power(W, Total over last 15 min) (W)","SMV340201 - Total Memory Power(W, Total over last 15 min) (W)","SMV340202 - Total Memory Power(W, Total over last 15 min) (W)","SMV340203 - Total Memory Power(W, Total over last 15 min) (W)","SMV340204 - Total Memory Power(W, Total over last 15 min) (W)","SMV340205 - Total Memory Power(W, Total over last 15 min) (W)","SMV340206 - Total Memory Power(W, Total over last 15 min) (W)","SMV340207 - Total Memory Power(W, Total over last 15 min) (W)","SMV340208 - Total Memory Power(W, Total over last 15 min) (W)","SMV340209 - Total Memory Power(W, Total over last 15 min) (W)","SMV340210 - Total Memory Power(W, Total over last 15 min) (W)","SMV340211 - Total Memory Power(W, Total over last 15 min) (W)","SMV340212 - Total Memory Power(W, Total over last 15 min) (W)","SMV340213 - Total Memory Power(W, Total over last 15 min) (W)","SMV340230 - Total Memory Power(W, Total over last 15 min) (W)","SMV340232 - Total Memory Power(W, Total over last 15 min) (W)","SMV340233 - Total Memory Power(W, Total over last 15 min) (W)","SMV340234 - Total Memory Power(W, Total over last 15 min) (W)","SMV340262 - Total Memory Power(W, Total over last 15 min) (W)","SMV340263 - Total Memory Power(W, Total over last 15 min) (W)","idrac-9DQGPV3 - Total Memory Power(W, Total over last 15 min) (W)","idrac-BDQGPV3 - Total Memory Power(W, Total over last 15 min) (W)","idrac-CDQGPV3 - Total Memory Power(W, Total over last 15 min) (W)","idrac-DDQGPV3 - Total Memory Power(W, Total over last 15 min) (W)","idrac-FDQGPV3 - Total Memory Power(W, Total over last 15 min) (W)"
"2025-06-10T16:15:00-03:00","","128.305263","","128.226316","","139.828087","136.610527","","","138.457894","","","121.21579","127.502646","","131.460122","127.936508","","139.285714","121.042328","134.359789","134.180326","129.952631","128.634921",""
"2025-06-10T16:30:00-03:00","","128.068421","","128.238096","","140.88421","136.452631","","","137.878948","","","120.51579","128.931217","","129.602484","126.694737","","134.68421","119.268421","133.650793","133.6","127.910527","128.682289",""
"2025-06-10T16:45:00-03:00","","128.194737","","127.910527","","142.354498","136.326316","","","138.1","","","123.236842","128.7","","126.631902","127.768421","","128.835979","121.678948","132.497354","133.275392","127.37037","128.463158",""
"2025-06-10T17:00:00-03:00","","128.152631","","128.189473","","143.434554","137.268421","","","139.057894","","","132.768421","129.846561","","129.055214","127.921052","","127.405263","120.661376","132.126316","133.533029","127.228266","128.297174",""
"2025-06-10T17:15:00-03:00","","127.984127","","128.010527","","141.563158","137.126316","","","140.789779","","","132.68421","128.910527","","132.177914","128.873684","","135.4709","122.278948","133.342106","133.278948","127.626316","127.852631",""
"2025-06-10T17:30:00-03:00","","127.757894","","128.357894","","141.208227","136.794737","","","140.163158","","","126.226316","128.331579","","133.371951","128.431579","","129.375661","119.331579","133.37037","133.56167","126.973684","127.62554",""
"2025-06-10T17:45:00-03:00","","128.005263","","127.830688","","139.69057","136.84127","","","139.389473","","","129.121693","128.289473","","133.216049","128.661376","","125.726316","120.603174","135.178948","134.730689","126.952742","127.96645",""
"2025-06-10T18:00:00-03:00","","128.378948","","128.142106","","138.521052","136.732984","","","139.541307","","","124.062828","128.761904","","131.607362","129.163158","","127.857143","120.289473","133.636842","134.024899","127.04712","127.957718",""
"2025-06-10T18:15:00-03:00","","127.978836","","128.111111","","139.121052","137.010582","","","137.87718","","","125.640211","129.210527","","132.484662","128.847369","","138.121052","122","132.650793","133.863158","127.273932","127.205041",""
"2025-06-10T18:30:00-03:00","","127.752631","","127.968421","","140.531579","136.4","","","138.068421","","","121.994737","128.421052","","132.404908","127.4","","141.489473","117.98421","132.405263","133.291006","126.673684","127.252631",""
"2025-06-10T18:45:00-03:00","","129.310527","","127.973684","","133.557894","135.773684","137.573684","","138.568781","","","121.978948","128.773684","","131.509202","127.242106","","134.941799","120.010582","132.194737","133.505263","126.86144","127.343916",""
"2025-06-10T19:00:00-03:00","","129.057894","","128.566138","","126.878948","136.152631","137.952381","","139.405263","","","124.089947","128.968421","","130.149068","127.589473","","128.195767","119.189473","133.037037","133.536677","127.273684","127.810527",""
"2025-06-10T19:15:00-03:00","","127.821052","","128.410527","","127.062521","136.447369","137.205263","","138.354764","","","122.878948","128.291006","","130.239263","127.91579","","130.657894","119.294737","133.573684","134.153018","127.61579","127.668421",""
"2025-06-10T19:30:00-03:00","","127.968254","","128.373684","","128.305263","134.98421","137.312169","","138.936842","","","124.236842","129.152631","","131.484662","127.52381","","125.846561","119.544973","132.968421","133.31746","127.445347","127.835979",""
"2025-06-10T19:45:00-03:00","","127.710527","","128.405263","","131.236842","135.436842","137.063158","","138.810527","","","123.805263","128.526316","","129.037037","127.8","","126.278948","120.147369","136.227513","133.594737","127.391818","127.640211",""
"2025-06-10T20:00:00-03:00","","128.58421","","128.555556","142.058201","133.948884","135.968421","137.236842","","142.680628","","","124.389473","129.352631","","132.265432","128.263158","","125.502646","122.147369","134.626316","133.355762","127.712589","128.073684",""
"2025-06-10T20:15:00-03:00","","129.037037","","129.4","143.273684","137.989261","135.589473","137.073684","","136.978836","","","122.831579","129.21579","","135.444444","127.747369","","132.126316","122.078948","138.455027","136.405263","128.778948","132.542493",""
"2025-06-10T20:30:00-03:00","","128.78421","","129.5","146.968254","140.457894","135.847369","136.742106","","138.026316","","","124.417989","129.573684","","132.521472","128.136842","","131.084656","122.936508","135.126984","134.760028","128.614626","131.029171",""
"2025-06-10T20:45:00-03:00","","128.5","","128.894737","140.057894","139.78662","136.842106","137.15873","","138.068421","","","125.794737","128.757894","","134.833333","128.205263","","126.465609","121.31579","133.378948","134.242106","128.54534","128.248678",""
"2025-06-10T21:00:00-03:00","","128.9","","128.757894","141.465609","139.51993","137","137.531579","","138.831579","","","124.410527","130.164021","","137.560976","128.247369","","125.163158","121.61579","133.210527","134.41488","128.40287","127.573684",""
"2025-06-10T21:15:00-03:00","","128.291006","","128.312169","145.194737","140.210527","138.079366","138.326316","","138.157894","","","126.678948","129.105263","","138.91411","128.710527","","127.821052","123.431579","133.26455","133.89692","128.505263","127.929336",""
"2025-06-10T21:30:00-03:00","","128.152631","","128.38421","146.063492","139.289473","137.542106","139.078948","","139.869937","","","125.726316","","","142.580247","128.58421","","127.238096","121.846561","133.542106","133.704721","127.910053","127.455027",""
"2025-06-10T21:45:00-03:00","","128.063158","","128.528796","145.5291","141.21579","136.789473","139.189473","","140.095238","","","128.757894","","","132.95679","128.941799","","126.552631","122.51579","132.873016","134.193182","127.863158","127.08421",""
"2025-06-10T22:00:00-03:00","","128.18421","","","135.547369","143.301136","136.452631","139.243387","","140.13089","","","126.510527","","","131.944444","130.226316","","125.433862","120.899471","132.847369","134.294206","128.38421","127.589473",""
"2025-06-10T22:15:00-03:00","","","","","145","142.61579","135.68421","139.063158","","139.411216","","","125.465609","","","131.401234","129.28421","","130.4709","121.942106","133.322751","134.580496","128.138864","127.773684",""
"2025-06-10T22:30:00-03:00","","","","","141.189473","142.226316","136.465609","138.678948","","139.773684","","","121.405263","","","134.802469","129.804233","","132.536842","123.11579","133.386243","135.6","127.052631","128.826316",""
"2025-06-10T22:45:00-03:00","","","","","141.640211","142.058777","136.189473","138.78836","","139.25144","","","119.21579","","","132.179012","128.58421","","139.862433","","135.41579","138.919372","128.073684","129.856981",""
"2025-06-10T23:00:00-03:00","","","","","136.536842","138.995047","135.694737","138.2","","139.6","","","118.342106","","","135.851852","127.714286","","132.433862","","137.455027","139.236418","128.131276","131.60451",""
