"Date and time","SMV340200 - Power Consumption (W, Max. over last 15 min) (W)","SMV340201 - Power Consumption (W, Max. over last 15 min) (W)","SMV340202 - Power Consumption (W, Max. over last 15 min) (W)","SMV340203 - Power Consumption (W, Max. over last 15 min) (W)","SMV340204 - Power Consumption (W, Max. over last 15 min) (W)","SMV340205 - Power Consumption (W, Max. over last 15 min) (W)","SMV340206 - Power Consumption (W, Max. over last 15 min) (W)","SMV340207 - Power Consumption (W, Max. over last 15 min) (W)","SMV340208 - Power Consumption (W, Max. over last 15 min) (W)","SMV340209 - Power Consumption (W, Max. over last 15 min) (W)","SMV340210 - Power Consumption (W, Max. over last 15 min) (W)","SMV340211 - Power Consumption (W, Max. over last 15 min) (W)","SMV340212 - Power Consumption (W, Max. over last 15 min) (W)","SMV340213 - Power Consumption (W, Max. over last 15 min) (W)","SMV340230 - Power Consumption (W, Max. over last 15 min) (W)","SMV340232 - Power Consumption (W, Max. over last 15 min) (W)","SMV340233 - Power Consumption (W, Max. over last 15 min) (W)","SMV340234 - Power Consumption (W, Max. over last 15 min) (W)","SMV340262 - Power Consumption (W, Max. over last 15 min) (W)","SMV340263 - Power Consumption (W, Max. over last 15 min) (W)","idrac-9DQGPV3 - Power Consumption (W, Max. over last 15 min) (W)","idrac-BDQGPV3 - Power Consumption (W, Max. over last 15 min) (W)","idrac-CDQGPV3 - Power Consumption (W, Max. over last 15 min) (W)","idrac-DDQGPV3 - Power Consumption (W, Max. over last 15 min) (W)","idrac-FDQGPV3 - Power Consumption (W, Max. over last 15 min) (W)"
"2025-06-10T16:15:00-03:00","813","806","792","884","1269","1097","1035","1050","1209","1038","1234","1198","969","887","1143","994","874","943","1255","1024","1076","1052","1036","1066","1017"
"2025-06-10T16:30:00-03:00","836","801","823","857","1235","1078","1017","1087","1194","1022","1197","1223","1005","916","1143","985","853","943","1211","962","1001","1027","1041","1066","1016"
"2025-06-10T16:45:00-03:00","822","807","823","854","1195","1078","1044","1090","1240","1037","1225","1200","966","933","1143","918","869","1031","1190","1005","1031","1027","1038","1009","1019"
"2025-06-10T17:00:00-03:00","856","864","851","1002","1214","1157","1069","1077","1246","1078","1220","1235","1095","1014","1137","1044","879","1080","1180","1001","1096","1065","1065","1009","1206"
"2025-06-10T17:15:00-03:00","808","807","802","909","1259","1157","1040","1069","1246","1078","1217","1168","1105","957","1240","1021","883","983","1213","1012","1150","1224","1023","1033","1027"
"2025-06-10T17:30:00-03:00","842","798","784","863","1204","1157","1044","1069","1203","1079","1197","1161","1009","919","1240","1012","899","972","1204","968","999","1224","1030","1033","1009"
"2025-06-10T17:45:00-03:00","811","802","793","864","1208","1051","1037","1069","1215","1069","1172","1172","1034","919","1240","1032","898","961","1152","1010","1103","1224","1030","1036","1021"
"2025-06-10T18:00:00-03:00","828","861","818","891","1250","1056","1087","1081","1225","1097","1183","1229","1031","1091","1226","1053","954","1011","1211","1032","1081","1224","1084","1036","1093"
"2025-06-10T18:15:00-03:00","806","792","782","842","1282","1036","1044","1048","1231","1097","1191","1166","978","925","1161","1072","921","935","1232","1019","1038","1224","1084","1036","1010"
"2025-06-10T18:30:00-03:00","812","788","773","895","1261","1065","1025","1057","1203","1086","1193","1164","962","920","1161","1018","861","945","1245","960","997","1224","1020","979","1033"
"2025-06-10T18:45:00-03:00","801","817","797","856","1275","1046","1043","1021","1253","1086","1178","1194","944","936","1200","941","884","951","1260","996","995","1224","1020","981","1027"
"2025-06-10T19:00:00-03:00","924","877","816","862","1207","1046","1046","1053","1202","1043","1214","1214","975","945","1236","922","906","992","1176","996","1018","1224","1079","1011","1086"
"2025-06-10T19:15:00-03:00","819","796","782","868","1209","1046","1062","1042","1218","1043","1185","1178","946","932","1246","978","875","947","1159","981","1171","1224","1028","983","1043"
"2025-06-10T19:30:00-03:00","857","798","814","870","1238","939","1088","1037","1209","1041","1217","1203","1092","930","1246","967","912","987","1171","974","1027","1072","1030","992","1010"
"2025-06-10T19:45:00-03:00","819","814","792","873","1290","971","1072","1017","1252","1017","1252","1227","950","914","1246","943","859","936","1167","1014","1038","1029","1042","992","1047"
"2025-06-10T20:00:00-03:00","831","845","902","906","1247","1022","1070","1077","1252","1178","1238","1243","1073","1098","1227","1045","887","1117","1168","1131","1094","1028","1116","992","1084"
"2025-06-10T20:15:00-03:00","849","842","802","884","1260","1088","1082","1035","1234","1178","1221","1204","964","928","1165","983","877","987","1180","1016","1087","1100","1039","1060","1034"
"2025-06-10T20:30:00-03:00","858","812","809","968","1265","1088","1018","1048","1232","1015","1229","1221","961","955","1132","1046","883","970","1221","1007","1083","1100","1062","1060","1103"
"2025-06-10T20:45:00-03:00","822","812","800","850","1226","1088","1033","1039","1243","1015","1225","1229","1008","920","1132","1043","907","958","1174","969","1053","1041","1036","1017","1026"
"2025-06-10T21:00:00-03:00","842","866","847","994","1305","1061","1167","1061","1254","1101","1280","1284","1030","1183","1132","1060","884","1034","1231","1141","1099","1126","1069","1000","1106"
"2025-06-10T21:15:00-03:00","818","817","813","864","1268","1061","1109","1071","1207","1061","1219","1217","970","940","1171","1172","936","1021","1160","1043","1099","1177","1056","1001","1063"
"2025-06-10T21:30:00-03:00","830","809","856","885","1312","1028","1070","1062","1204","1097","1215","1195","1012","941","1171","1224","888","1053","1183","1013","1047","1042","1056","1009","1028"
"2025-06-10T21:45:00-03:00","807","813","792","883","1290","1044","1039","1063","1244","1097","1208","1177","993","908","1171","1140","894","1004","1147","993","1034","1065","1020","984","1028"
"2025-06-10T22:00:00-03:00","834","917","930","1047","1202","1100","1053","1115","1226","1097","1259","1245","1076","1113","1167","997","949","1016","1182","1010","1073","1086","1067","990","1163"
"2025-06-10T22:15:00-03:00","842","811","783","865","1264","1073","1034","1064","1248","1097","1200","1169","986","894","1111","1023","901","953","1229","","1018","1086","1067","1017","1044"
"2025-06-10T22:30:00-03:00","811","805","783","859","1231","1083","1117","1068","1214","1068","1231","1167","966","908","1111","1016","933","951","1187","","1014","1090","1029","1035","1020"
"2025-06-10T22:45:00-03:00","797","794","797","861","1203","1092","1094","1070","1205","1068","1211","1215","925","881","1091","1061","872","920","1241","","1031","1133","1038","1035","1071"
"2025-06-10T23:00:00-03:00","906","861","845","951","1196","1092","1050","1068","1294","1195","1225","1228","953","1052","1086","1103","894","1064","1191","","1081","1133","1189","1082","1034"
"2025-06-10T23:15:00-03:00","793","786","762","872","1231","1047","1081","1097","1198","1015","1202","1179","971","917","1086","1102","900","914","1223","","1035","1201","1189","1082","1021"
"2025-06-10T23:30:00-03:00","881","781","821","879","1238","1108","1081","1046","1207","1079","1150","1200","916","882","1134","1056","860","897","1256","","1110","1072","1072","972","1040"
"2025-06-10T23:45:00-03:00","841","783","834","890","1221","1040","1028","1019","1237","1025","1171","1175","907","891","1134","1054","850","882","1191","","1076","1098","1033","1010","1030"
"2025-06-11T00:00:00-03:00","849","869","823","912","1239","1073","1058","1053","1265","1179","1155","1246","952","920","1211","1105","949","1007","1185","","1118","1125","1094","1056","1074"
"2025-06-11T00:15:00-03:00","855","825","827","905","1237","1019","1003","1043","1213","1179","1143","1180","907","885","1211","1059","840","885","1175","","1089","1092","1027","1181","1044"
"2025-06-11T00:30:00-03:00","819","794","834","843","1250","926","1021","1053","1228","1007","1145","1143","881","910","1211","1018","830","905","1223","","1126","1092","1025","1090","1037"
"2025-06-11T00:45:00-03:00","833","804","848","889","1245","918","991","997","1189","1034","1139","1181","892","893","1211","1031","804","906","1184","","1089","1053","1002","1090","1032"
"2025-06-11T01:00:00-03:00","845","868","980","886","1207","971","1055","1029","1275","1205","1214","1198","1033","1138","1197","969","839","1161","1198","","1073","1076","1038","1090","1064"
"2025-06-11T01:15:00-03:00","814","779","786","847","1230","935","1036","1028","1227","1058","1140","1140","990","881","1221","987","800","982","1179","","1055","1076","998","1008","1019"
"2025-06-11T01:30:00-03:00","794","789","794","850","1216","954","993","1006","1174","1058","1140","1116","1003","862","1228","988","784","992","1216","","980","1047","1065","1008","1007"
"2025-06-11T01:45:00-03:00","796","773","771","872","1276","964","1054","997","1149","1058","1137","1104","942","841","1228","958","815","972","1258","","999","1018","972","1011","994"
"2025-06-11T02:00:00-03:00","815","904","847","845","1212","1031","1150","","1206","1058","1179","1159","956","1004","1228","1048","924","1009","1212","","1104","1114","1027","966","984"
"2025-06-11T02:15:00-03:00","813","781","760","826","1253","992","1035","","1203","1058","1115","1105","975","831","1090","1059","820","932","1207","","1017","1114","1027","992","1006"
