"Date and time","SMV340200 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","SMV340201 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","SMV340202 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","SMV340203 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","SMV340204 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","SMV340205 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","SMV340206 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","SMV340207 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","SMV340208 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","SMV340209 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","SMV340210 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","SMV340211 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","SMV340212 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","SMV340213 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","SMV340230 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","SMV340232 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","SMV340233 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","SMV340234 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","SMV340262 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","SMV340263 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","idrac-9DQGPV3 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","idrac-BDQGPV3 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","idrac-CDQGPV3 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","idrac-DDQGPV3 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)","idrac-FDQGPV3 - Peak Inlet Temperature (°C, Max. over last 15 min) (°C)"
"2025-06-10T16:15:00-03:00","21","30","23","28","26","35","24","32","23","29","24","28","18","27","29","27","26","19","27","33","31","24","22","21","27"
"2025-06-10T16:30:00-03:00","21","30","23","28","27","35","24","32","23","29","24","28","18","26","29","27","26","19","27","33","31","24","22","21","27"
"2025-06-10T16:45:00-03:00","21","30","23","28","26","35","24","32","23","29","24","28","18","26","28","28","26","19","27","34","31","24","22","21","27"
"2025-06-10T17:00:00-03:00","21","30","23","28","27","35","24","32","23","29","24","28","19","26","28","28","26","19","27","34","31","24","22","21","27"
"2025-06-10T17:15:00-03:00","21","30","23","28","27","35","24","32","23","29","24","28","19","26","28","28","26","19","27","33","31","24","22","21","27"
"2025-06-10T17:30:00-03:00","21","30","23","28","27","35","24","32","23","29","24","28","19","26","28","28","26","19","27","33","31","24","22","21","27"
"2025-06-10T17:45:00-03:00","21","30","23","28","27","35","24","33","23","29","24","28","19","26","28","28","26","19","27","33","31","24","22","21","27"
"2025-06-10T18:00:00-03:00","21","30","23","28","26","35","24","32","23","29","24","28","19","27","28","28","26","19","27","33","31","24","22","21","27"
"2025-06-10T18:15:00-03:00","21","30","23","28","27","35","24","32","23","29","24","28","19","26","28","28","26","19","27","33","31","24","22","21","27"
"2025-06-10T18:30:00-03:00","21","30","23","28","27","35","24","32","23","29","23","29","19","27","28","28","26","19","27","33","31","24","22","21","27"
"2025-06-10T18:45:00-03:00","21","30","23","28","27","35","24","32","23","29","23","29","19","27","29","28","26","19","27","33","31","24","22","21","26"
"2025-06-10T19:00:00-03:00","21","30","23","28","27","35","24","32","23","29","24","28","19","27","29","28","26","19","28","33","31","24","22","21","27"
"2025-06-10T19:15:00-03:00","21","30","23","28","27","35","24","32","23","29","24","28","18","27","29","28","26","19","27","33","31","24","22","21","27"
