"Date and time","kirk - Power Consumption (W, Avg. over last 1 hour) (W)"
"2025-06-16T15:00:00-03:00","4664"
"2025-06-16T16:00:00-03:00","4808"
"2025-06-16T17:00:00-03:00","5128"
"2025-06-16T18:00:00-03:00","4688"
"2025-06-16T19:00:00-03:00","4512"
"2025-06-16T20:00:00-03:00","4368"
"2025-06-16T21:00:00-03:00","4664"
"2025-06-16T22:00:00-03:00","4496"
"2025-06-16T23:00:00-03:00","4576"
"2025-06-17T00:00:00-03:00","4624"
"2025-06-17T01:00:00-03:00","4600"
"2025-06-17T02:00:00-03:00","4632"
"2025-06-17T03:00:00-03:00","4632"
"2025-06-17T04:00:00-03:00","4616"
"2025-06-17T05:00:00-03:00","4544"
"2025-06-17T06:00:00-03:00","4544"
"2025-06-17T07:00:00-03:00","4528"
"2025-06-17T08:00:00-03:00","4528"
"2025-06-17T09:00:00-03:00","4536"
"2025-06-17T10:00:00-03:00","4544"
"2025-06-17T11:00:00-03:00","4592"
"2025-06-17T12:00:00-03:00","4360"
"2025-06-17T13:00:00-03:00","4208"
"2025-06-17T14:00:00-03:00","4496"
"2025-06-17T15:00:00-03:00","4416"
