Date and time,potmin_SMV340200,potmin_SMV340201,potmin_SMV340202,potmin_SMV340203,potmin_SMV340204,potmin_SMV340205,potmin_SMV340206,potmin_SMV340207,potmin_SMV340208,potmin_SMV340209,potmin_SMV340210,potmin_SMV340211,potmin_SMV340212,potmin_SMV340213,potmin_SMV340230,potmin_SMV340232,potmin_SMV340233,potmin_SMV340234,potmin_SMV340262,potmin_SMV340263,potmin_idrac-9DQGPV3,potmin_idrac-BDQGPV3,potmin_idrac-CDQGPV3,potmin_idrac-DDQGPV3,potmin_idrac-FDQGPV3,potmax_SMV340200,potmax_SMV340201,potmax_SMV340202,potmax_SMV340203,potmax_SMV340204,potmax_SMV340205,potmax_SMV340206,potmax_SMV340207,potmax_SMV340208,potmax_SMV340209,potmax_SMV340210,potmax_SMV340211,potmax_SMV340212,potmax_SMV340213,potmax_SMV340230,potmax_SMV340232,potmax_SMV340233,potmax_SMV340234,potmax_SMV340262,potmax_SMV340263,potmax_idrac-9DQGPV3,potmax_idrac-BDQGPV3,potmax_idrac-CDQGPV3,potmax_idrac-DDQGPV3,potmax_idrac-FDQGPV3,potavg_SMV340200,potavg_SMV340201,potavg_SMV340202,potavg_SMV340203,potavg_SMV340204,potavg_SMV340205,potavg_SMV340206,potavg_SMV340207,potavg_SMV340208,potavg_SMV340209,potavg_SMV340210,potavg_SMV340211,potavg_SMV340212,potavg_SMV340213,potavg_SMV340230,potavg_SMV340232,potavg_SMV340233,potavg_SMV340234,potavg_SMV340262,potavg_SMV340263,potavg_idrac-9DQGPV3,potavg_idrac-BDQGPV3,potavg_idrac-CDQGPV3,potavg_idrac-DDQGPV3,potavg_idrac-FDQGPV3,tempmin_SMV340200,tempmin_SMV340201,tempmin_SMV340202,tempmin_SMV340203,tempmin_SMV340204,tempmin_SMV340205,tempmin_SMV340206,tempmin_SMV340207,tempmin_SMV340208,tempmin_SMV340209,tempmin_SMV340210,tempmin_SMV340211,tempmin_SMV340212,tempmin_SMV340213,tempmin_SMV340230,tempmin_SMV340232,tempmin_SMV340233,tempmin_SMV340234,tempmin_SMV340262,tempmin_SMV340263,tempmin_idrac-9DQGPV3,tempmin_idrac-BDQGPV3,tempmin_idrac-CDQGPV3,tempmin_idrac-DDQGPV3,tempmin_idrac-FDQGPV3,tempmax_SMV340200,tempmax_SMV340201,tempmax_SMV340202,tempmax_SMV340203,tempmax_SMV340204,tempmax_SMV340205,tempmax_SMV340206,tempmax_SMV340207,tempmax_SMV340208,tempmax_SMV340209,tempmax_SMV340210,tempmax_SMV340211,tempmax_SMV340212,tempmax_SMV340213,tempmax_SMV340230,tempmax_SMV340232,tempmax_SMV340233,tempmax_SMV340234,tempmax_SMV340262,tempmax_SMV340263,tempmax_idrac-9DQGPV3,tempmax_idrac-BDQGPV3,tempmax_idrac-CDQGPV3,tempmax_idrac-DDQGPV3,tempmax_idrac-FDQGPV3
2025-06-10 16:15:00-03:00,714.0,731.0,719.0,745.0,803.0,911.0,899.0,890.0,1072.0,908.0,1060.0,1050.0,797.0,769.0,757.0,765.0,731.0,815.0,736.0,862.0,895.0,,883.0,862.0,867.0,813.0,806.0,792.0,884.0,1269.0,1097.0,1035.0,1050.0,1209.0,1038.0,1234.0,1198.0,969.0,887.0,1143.0,994.0,874.0,943.0,1255.0,1024.0,1076.0,1052.0,1036.0,1066.0,1017.0,761.51579,760.521052,740.531579,790.178948,1120.936508,998.673772,969.747369,960.289473,1138.005291,964.078948,1141.232804,1121.173684,875.789473,822.634921,955.0,905.680981,795.126984,871.294737,1034.873016,937.842106,953.354498,966.763158,971.321052,936.957672,938.41579,20.0,30.0,23.0,27.0,23.0,33.0,24.0,32.0,23.0,28.0,23.0,28.0,18.0,26.0,,24.0,25.0,19.0,24.0,33.0,31.0,22.0,20.0,20.0,26.0,21.0,30.0,23.0,28.0,26.0,35.0,24.0,32.0,23.0,29.0,24.0,28.0,18.0,27.0,29.0,27.0,26.0,19.0,27.0,33.0,31.0,24.0,22.0,21.0,27.0
2025-06-10 16:30:00-03:00,729.0,686.0,717.0,735.0,777.0,942.0,896.0,895.0,1049.0,898.0,1060.0,1077.0,809.0,796.0,757.0,770.0,735.0,791.0,733.0,852.0,888.0,,883.0,862.0,852.0,836.0,801.0,823.0,857.0,1235.0,1078.0,1017.0,1087.0,1194.0,1022.0,1197.0,1223.0,1005.0,916.0,1143.0,985.0,853.0,943.0,1211.0,962.0,1001.0,1027.0,1041.0,1066.0,1016.0,763.492063,757.563158,745.38421,790.354498,1048.447369,1001.073684,967.357894,975.111111,1112.68421,954.073684,1118.989473,1135.857894,873.147369,848.78421,957.0,869.111801,770.968421,868.989473,976.636842,911.666667,939.216931,960.378948,947.843796,926.783988,948.587301,21.0,30.0,23.0,27.0,23.0,33.0,24.0,32.0,23.0,28.0,23.0,28.0,18.0,26.0,,25.0,25.0,18.0,24.0,33.0,31.0,22.0,20.0,20.0,26.0,21.0,30.0,23.0,28.0,27.0,35.0,24.0,32.0,23.0,29.0,24.0,28.0,18.0,26.0,29.0,27.0,26.0,19.0,27.0,33.0,31.0,24.0,22.0,21.0,27.0
2025-06-10 16:45:00-03:00,711.0,715.0,716.0,733.0,794.0,942.0,903.0,906.0,1064.0,890.0,1046.0,1054.0,813.0,782.0,786.0,731.0,754.0,824.0,706.0,848.0,864.0,907.0,877.0,867.0,876.0,822.0,807.0,823.0,854.0,1195.0,1078.0,1044.0,1090.0,1240.0,1037.0,1225.0,1200.0,966.0,933.0,1143.0,918.0,869.0,1031.0,1190.0,1005.0,1031.0,1027.0,1038.0,1009.0,1019.0,762.994737,756.989473,748.206349,785.805263,985.455498,1007.716178,968.273684,985.242106,1126.68421,961.81579,1123.821052,1119.994737,888.408377,851.568421,965.0,811.0,789.81579,885.373684,910.058201,929.747369,925.571429,958.677377,941.206349,927.536842,940.368421,21.0,30.0,23.0,27.0,23.0,33.0,24.0,32.0,23.0,28.0,23.0,27.0,18.0,25.0,,25.0,25.0,18.0,24.0,33.0,31.0,22.0,20.0,20.0,26.0,21.0,30.0,23.0,28.0,26.0,35.0,24.0,32.0,23.0,29.0,24.0,28.0,18.0,26.0,28.0,28.0,26.0,19.0,27.0,34.0,31.0,24.0,22.0,21.0,27.0
2025-06-10 17:00:00-03:00,720.0,728.0,719.0,744.0,745.0,957.0,909.0,912.0,1053.0,912.0,1070.0,1043.0,855.0,803.0,786.0,716.0,750.0,826.0,708.0,850.0,853.0,907.0,852.0,862.0,862.0,856.0,864.0,851.0,1002.0,1214.0,1157.0,1069.0,1077.0,1246.0,1078.0,1220.0,1235.0,1095.0,1014.0,1137.0,1044.0,879.0,1080.0,1180.0,1001.0,1096.0,1065.0,1065.0,1009.0,1206.0,767.063158,759.610527,755.005263,790.263158,949.624339,1032.659686,975.178948,970.352631,1125.2,965.294737,1145.368421,1119.968421,967.336842,865.338624,947.0,869.398773,797.921052,929.306878,896.5,916.005291,922.596859,959.282512,939.657894,924.892299,940.693122,21.0,30.0,23.0,27.0,23.0,33.0,24.0,32.0,23.0,28.0,24.0,28.0,18.0,25.0,,25.0,25.0,19.0,24.0,33.0,31.0,22.0,20.0,20.0,26.0,21.0,30.0,23.0,28.0,27.0,35.0,24.0,32.0,23.0,29.0,24.0,28.0,19.0,26.0,28.0,28.0,26.0,19.0,27.0,34.0,31.0,24.0,22.0,21.0,27.0
2025-06-10 17:15:00-03:00,722.0,723.0,709.0,747.0,769.0,946.0,905.0,898.0,1087.0,912.0,1070.0,1010.0,861.0,799.0,786.0,759.0,778.0,829.0,733.0,869.0,878.0,896.0,892.0,865.0,873.0,808.0,807.0,802.0,909.0,1259.0,1157.0,1040.0,1069.0,1246.0,1078.0,1217.0,1168.0,1105.0,957.0,1240.0,1021.0,883.0,983.0,1213.0,1012.0,1150.0,1224.0,1023.0,1033.0,1027.0,761.542106,758.481481,743.291006,786.578948,1068.794737,1001.636962,974.757894,973.126984,1157.708994,989.938393,1148.642106,1089.968254,984.026316,851.078948,989.0,896.374233,819.621052,895.88421,995.73545,937.463158,946.652631,957.98421,953.389473,920.58421,940.189473,21.0,30.0,23.0,27.0,23.0,33.0,24.0,32.0,23.0,28.0,24.0,28.0,18.0,26.0,,25.0,25.0,19.0,24.0,33.0,31.0,22.0,20.0,20.0,26.0,21.0,30.0,23.0,28.0,27.0,35.0,24.0,32.0,23.0,29.0,24.0,28.0,19.0,26.0,28.0,28.0,26.0,19.0,27.0,33.0,31.0,24.0,22.0,21.0,27.0
2025-06-10 17:30:00-03:00,727.0,728.0,714.0,735.0,730.0,,887.0,912.0,1034.0,916.0,1043.0,1032.0,812.0,788.0,775.0,789.0,767.0,808.0,676.0,824.0,858.0,896.0,866.0,842.0,838.0,842.0,798.0,784.0,863.0,1204.0,1157.0,1044.0,1069.0,1203.0,1079.0,1197.0,1161.0,1009.0,919.0,1240.0,1012.0,899.0,972.0,1204.0,968.0,999.0,1224.0,1030.0,1033.0,1009.0,759.373684,753.210527,740.11579,789.594737,963.306878,992.713879,971.621052,990.210527,1114.968421,986.868421,1108.962963,1096.373684,896.389473,843.910527,976.0,892.878049,824.721052,881.989418,909.164021,893.873684,939.439153,957.036567,939.236842,916.234653,935.857894,21.0,30.0,23.0,27.0,23.0,33.0,24.0,32.0,23.0,28.0,24.0,28.0,18.0,25.0,,24.0,25.0,19.0,24.0,33.0,31.0,22.0,20.0,20.0,26.0,21.0,30.0,23.0,28.0,27.0,35.0,24.0,32.0,23.0,29.0,24.0,28.0,19.0,26.0,28.0,28.0,26.0,19.0,27.0,33.0,31.0,24.0,22.0,21.0,27.0
2025-06-10 17:45:00-03:00,726.0,708.0,720.0,724.0,758.0,,907.0,901.0,1050.0,902.0,1020.0,1018.0,838.0,782.0,775.0,761.0,773.0,820.0,677.0,849.0,885.0,896.0,859.0,837.0,866.0,811.0,802.0,793.0,864.0,1208.0,1051.0,1037.0,1069.0,1215.0,1069.0,1172.0,1172.0,1034.0,919.0,1240.0,1032.0,898.0,961.0,1152.0,1010.0,1103.0,1224.0,1030.0,1036.0,1021.0,758.221052,753.447369,739.710527,785.259259,932.736842,986.28421,968.058201,963.730159,1114.5291,978.68421,1093.578948,1091.047369,942.275132,840.88421,988.0,890.302469,825.312169,879.447369,862.389473,921.518519,956.763158,977.193909,941.488151,923.21579,934.386243,21.0,30.0,23.0,27.0,23.0,33.0,24.0,32.0,23.0,28.0,24.0,28.0,18.0,26.0,,25.0,25.0,19.0,24.0,33.0,31.0,22.0,20.0,20.0,26.0,21.0,30.0,23.0,28.0,27.0,35.0,24.0,33.0,23.0,29.0,24.0,28.0,19.0,26.0,28.0,28.0,26.0,19.0,27.0,33.0,31.0,24.0,22.0,21.0,27.0
2025-06-10 18:00:00-03:00,707.0,724.0,711.0,743.0,753.0,928.0,915.0,888.0,1054.0,894.0,1024.0,1021.0,807.0,782.0,775.0,764.0,738.0,806.0,686.0,836.0,874.0,896.0,859.0,837.0,865.0,828.0,861.0,818.0,891.0,1250.0,1056.0,1087.0,1081.0,1225.0,1097.0,1183.0,1229.0,1031.0,1091.0,1226.0,1053.0,954.0,1011.0,1211.0,1032.0,1081.0,1224.0,1084.0,1036.0,1093.0,757.094737,760.842106,742.852631,788.18421,998.904762,978.873684,970.507853,965.026316,1123.347369,975.63709,1107.431579,1102.952381,880.031413,855.851852,987.0,882.699387,823.042106,878.578948,894.116402,911.689473,939.289473,969.853652,944.244674,917.201136,936.452631,21.0,30.0,23.0,27.0,23.0,33.0,24.0,32.0,23.0,28.0,23.0,28.0,19.0,26.0,,25.0,25.0,19.0,24.0,33.0,31.0,22.0,20.0,20.0,26.0,21.0,30.0,23.0,28.0,26.0,35.0,24.0,32.0,23.0,29.0,24.0,28.0,19.0,27.0,28.0,28.0,26.0,19.0,27.0,33.0,31.0,24.0,22.0,21.0,27.0
2025-06-10 18:15:00-03:00,707.0,715.0,703.0,733.0,761.0,939.0,921.0,884.0,1058.0,883.0,1031.0,1025.0,826.0,799.0,775.0,764.0,752.0,820.0,771.0,846.0,879.0,896.0,859.0,837.0,871.0,806.0,792.0,782.0,842.0,1282.0,1036.0,1044.0,1048.0,1231.0,1097.0,1191.0,1166.0,978.0,925.0,1161.0,1072.0,921.0,935.0,1232.0,1019.0,1038.0,1224.0,1084.0,1036.0,1010.0,757.51579,753.555556,738.746032,786.37037,1108.88421,983.821052,973.984127,968.01579,1132.421052,953.296529,1123.047619,1094.063158,897.222222,858.147369,984.0,918.88957,807.494737,874.18421,1032.705263,918.11579,934.492063,963.423318,948.264446,909.780006,937.436842,20.0,30.0,23.0,27.0,23.0,33.0,24.0,32.0,23.0,28.0,23.0,28.0,19.0,26.0,,24.0,25.0,19.0,24.0,33.0,31.0,22.0,20.0,20.0,26.0,21.0,30.0,23.0,28.0,27.0,35.0,24.0,32.0,23.0,29.0,24.0,28.0,19.0,26.0,28.0,28.0,26.0,19.0,27.0,33.0,31.0,24.0,22.0,21.0,27.0
2025-06-10 18:30:00-03:00,704.0,721.0,716.0,744.0,818.0,945.0,883.0,888.0,1046.0,898.0,1046.0,1019.0,775.0,789.0,806.0,755.0,728.0,800.0,739.0,820.0,864.0,896.0,874.0,849.0,876.0,812.0,788.0,773.0,895.0,1261.0,1065.0,1025.0,1057.0,1203.0,1086.0,1193.0,1164.0,962.0,920.0,1161.0,1018.0,861.0,945.0,1245.0,960.0,997.0,1224.0,1020.0,979.0,1033.0,758.3,749.889473,739.489473,785.663158,1116.455027,988.021052,965.952631,971.153439,1118.921052,957.473684,1120.594737,1098.726316,858.005263,844.857894,979.0,911.079754,787.436842,866.247369,1055.772487,879.305263,934.168421,953.581176,936.347369,912.757894,933.227513,20.0,30.0,23.0,27.0,24.0,33.0,24.0,32.0,23.0,28.0,23.0,28.0,19.0,25.0,,24.0,25.0,19.0,24.0,33.0,31.0,22.0,20.0,20.0,26.0,21.0,30.0,23.0,28.0,27.0,35.0,24.0,32.0,23.0,29.0,23.0,29.0,19.0,27.0,28.0,28.0,26.0,19.0,27.0,33.0,31.0,24.0,22.0,21.0,27.0
