"Date and time","SMV340200 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340201 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340202 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340203 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340204 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340205 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340206 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340207 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340208 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340209 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340210 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340211 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340212 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340213 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340230 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340232 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340233 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340234 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340262 - Total energy consumed (Wh, Sum over last 1 day) ()","SMV340263 - Total energy consumed (Wh, Sum over last 1 day) ()","idrac-9DQGPV3 - Total energy consumed (Wh, Sum over last 1 day) ()","idrac-BDQGPV3 - Total energy consumed (Wh, Sum over last 1 day) ()","idrac-CDQGPV3 - Total energy consumed (Wh, Sum over last 1 day) ()","idrac-DDQGPV3 - Total energy consumed (Wh, Sum over last 1 day) ()","idrac-FDQGPV3 - Total energy consumed (Wh, Sum over last 1 day) ()"
"2025-06-02T21:00:00-03:00","16949.087128","17226.528913","16672.130342","","23209.424002","22016.507259","20331.707304","21045.300087","24745.333377","21400.041607","","24274.621487","19718.115252","18274.83612","21886.375","19748.702306","","19745.198577","23050.656307","4691.798959","22067.55218","23054.995097","21500.347446","21782.565783","20678.447267"
"2025-06-03T21:00:00-03:00","17414.107372","17701.619729","17580.698112","18553.353876","23447.658671","22282.449077","21035.293273","22078.178185","25605.770227","22042.653402","25519.711266","25265.611005","19718.713351","18640.081878","21297.125","19686.184854","17927.054443","10488.388857","22914.543395","20216.484503","22538.914449","22904.856744","21488.140606","22036.14266","21002.248836"
"2025-06-04T21:00:00-03:00","17715.927704","17884.870598","17540.541454","13287.820577","22644.87978","22470.999587","20898.206901","22201.411675","25754.032088","22096.429114","25744.578248","25333.483859","19791.207863","18750.803167","20886.625","19483.610374","17778.879638","20016.738997","22393.342833","20183.051149","22518.35131","22793.658164","21543.489987","22057.319769","21173.731811"
"2025-06-05T21:00:00-03:00","17809.011494","17764.611855","17605.126209","18773.110808","22805.497744","22437.052527","21234.130983","22214.813676","25908.580005","22076.47679","25820.870841","25283.659373","19746.262237","18644.895792","20981.375","19435.091159","17864.892641","19670.069399","22443.193874","20209.385582","22695.89094","23023.905692","21464.035612","22022.084429","21270.649569"
"2025-06-06T21:00:00-03:00","17592.313321","14592.935916","17562.197891","18738.850536","23174.838817","22041.15366","21279.156858","22067.348237","25909.191077","22048.971947","25772.022318","25274.308995","19748.355785","18598.324485","21959.75","19781.360262","17847.042892","19733.767663","22379.901132","20150.874756","22409.510735","22697.781432","21353.983656","21950.853993","21492.902869"
"2025-06-07T21:00:00-03:00","17225.479107","17332.465383","17273.385169","14484.756385","24097.492306","22239.949854","20695.667095","","25196.79453","21750.763669","24893.636771","24780.617386","19218.494816","17696.600322","22182.25","20687.84027","17115.788264","19442.984991","23254.800997","19741.862378","22086.580791","22567.150361","21168.67018","21576.018689","21049.769413"
"2025-06-08T21:00:00-03:00","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-06-09T21:00:00-03:00","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-06-10T21:00:00-03:00","17377.37137","17394.917904","17316.055971","18057.004677","23988.168666","22233.17246","21308.16139","22013.365488","25320.380836","21765.006514","25226.529427","25354.427035","19907.758821","18563.514989","21859","20436.010127","17859.62086","19789.825663","22682.379726","20015.882873","22098.51606","22709.070094","21641.969756","21490.638305","21196.734542"
"2025-06-11T21:00:00-03:00","16977.327996","17090.854211","16975.591855","17498.494296","16459.862266","21548.531094","20995.72452","12761.733489","24824.696991","21375.567213","24817.913518","24995.486494","19352.128323","18157.346348","21881.25","20110.56214","17447.751045","19422.342892","22652.824012","3844.826413","21714.565362","22342.896993","21162.789042","21067.954535","20784.590092"
"2025-06-12T21:00:00-03:00","","","","","","","","","","","","","","","","","","","","","","","","",""
